Electrical Maintenance Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Maintenance · English · Engineering · Mechanical Engineering,https://wuzzuf.net/jobs/p/c2xaRuGUyqNJ-Electrical-Maintenance-Engineer-Sharqia-Egypt?o=16&l=sp&t=sj&a=machine learning |search-v3|hpb
Senior C++ Software Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · OOP · Information Technology (IT) · Engineering · Telecommunication · German · Computer Science · Development,https://wuzzuf.net/jobs/p/Xa06oSsc5qnT-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=17&l=sp&t=sj&a=machine learning |search-v3|hpb
Industrial Efficiency Intern - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Ameria, Alexandria, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Manufacturing/Production · Engineering - Oil & Gas/Energy · Production · Industrial Engineering · Microsoft Office · Engineering · Faculty of engineering · Production Engineering · Electromechanical Engineering · Industrial,https://wuzzuf.net/jobs/p/f8zee5FXLOmi-Industrial-Efficiency-Intern---Alexandria-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt?o=18&l=sp&t=sj&a=machine learning |search-v3|hpb
Software Development Team Manager,International Advanced  -,"Nasr City, Cairo, Egypt ",Full TimeManager · 10+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Engineering · Information Technology (IT) · Software Development · Software Engineering · CSS,https://wuzzuf.net/jobs/p/GbBv4cibq5F1-Software-Development-Team-Manager-International-Advanced-Cairo-Egypt?o=19&l=sp&t=sj&a=machine learning |search-v3|hpb
Senior Technical Sales Engineer – Software,Caelum Egypt -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Sales · Software Engineering · Software · Software Sales,https://wuzzuf.net/jobs/p/lnIQZFSd0OtH-Senior-Technical-Sales-Engineer-–-Software-Caelum-Egypt-Giza-Egypt?o=20&l=sp&t=sj&a=machine learning |search-v3|hpb
Mechanical Maintenance Section Head,INDEVCO -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Maintenance · Mechanical · Mechanical Engineering · Production,https://wuzzuf.net/jobs/p/KbVVyKEVNjnw-Mechanical-Maintenance-Section-Head-INDEVCO-Giza-Egypt?o=21&l=sp&t=sj&a=machine learning |search-v3|hpb
Operational Excellence,Al Andalous Pharmaceutical Industries -,"Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · Operations/Management · Pharmaceutical · LEAN · Operations · Computer Skills · Microsoft Excel · Microsoft Office · Manufacturing,https://wuzzuf.net/jobs/p/KnTge8K9beVU-Operational-Excellence-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=22&l=sp&t=sj&a=machine learning |search-v3|hpb
Senior Big Data Engineers,BBI-Consultancy -,"Abu Dhabi, United Arab Emirates ",Full TimeWork From HomeExperienced · 7 - 10 Yrs of Exp · Banking · IT/Software Development · Engineering - Telecom/Technology · Big Data · Data Science · Python · Kafka · Spark,https://wuzzuf.net/jobs/p/5EBOFMSD1Bii-Senior-Big-Data-Engineers-BBI-Consultancy-Abu-Dhabi-United-Arab-Emirates?o=23&l=sp&t=sj&a=machine learning |search-v3|hpb
Full Stack Technical Lead,RDI -,"Dokki, Giza, Egypt ",Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Full Stack Development · JavaScript · Flask · Spring Boot · Django · Python,https://wuzzuf.net/jobs/p/ln6Clohx8m14-Full-Stack-Technical-Lead-RDI-Giza-Egypt?o=24&l=sp&t=sj&a=machine learning |search-v3|hpb
HR Specialist,EasyKash -,"Dokki, Giza, Egypt ",Full TimePart TimeExperienced · 2+ Yrs of Exp · Administration · Human Resources · Training/Instructor · Human Resources (HR) · Recruitment · Talent Acquisition · Personnel · HR · Business Administration · Labor,https://wuzzuf.net/jobs/p/ebkZE518pHJ5-HR-Specialist-EasyKash-Giza-Egypt?o=25&l=sp&t=sj&a=machine learning |search-v3|hpb
Computer Vision Tech Lead,Beyond Apps Group -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software · Software Development · Information Technology (IT),https://wuzzuf.net/jobs/p/13QrDuD8in2R-Computer-Vision-Tech-Lead-Beyond-Apps-Group-Cairo-Egypt?o=26&l=sp&t=sj&a=machine learning |search-v3|hpb
ReactNative Developer,Happymonk AI Labs. Pvt. Ltd. -,"Bengaluru, India ",Full TimeManager · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · React Native · React js · Information Technology (IT) · Software Development · Computer Science · React · Web,https://wuzzuf.net/jobs/p/pcuI3r5Bobas-ReactNative-Developer-Happymonk-AI-Labs-Pvt-Ltd-Bengaluru-India?o=27&l=sp&t=sj&a=machine learning |search-v3|hpb
Senior Business Analyst,GS1 -,"Heliopolis, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Business Development · Computer Science · Design · Information Technology (IT) · Programming · Software,https://wuzzuf.net/jobs/p/9cQrKP4JlsG6-Senior-Business-Analyst-GS1-Cairo-Egypt?o=28&l=sp&t=sj&a=machine learning |search-v3|hpb
Outdoor Technical Sales Engineer,ManEx Systems -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Sales · Outdoor Sales · Sales Engineering · Technical Sales · Mechatronics · Electrical,https://wuzzuf.net/jobs/p/ZdVezbZFvNnT-Outdoor-Technical-Sales-Engineer-ManEx-Systems-Giza-Egypt?o=29&l=sp&t=sj&a=machine learning |search-v3|hpb
Senior RPA Developer,Centro CDX -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · RPA · Roboticprocessautomation · Automation · UiPath · Information Technology (IT) · Agile · APIs · .net core,https://wuzzuf.net/jobs/p/OjaDd60jT87n-Senior-RPA-Developer-Centro-CDX-Cairo-Egypt?o=30&l=sp&t=sj&a=machine learning |search-v3|hpb
